code,name,group,var0,var1,var2,var3,var4,var5,value
E08000005,Rochdale,grp3,4.7,4.2,4.4,4.2,4.7,4.7,2.664431824
E06000001,Hartlepool,grp1,4.7,3.9,4.4,3.9,4.7,4.3,70.34424377
E07000170,Ashfield,grp6,4.7,4.2,4.5,4.2,4.7,4.8,74.40682728
E06000013,North Lincolnshire,grp2,4.7,3.8,4.3,3.8,4.7,4.7,59.22754272
E06000003,Redcar and Cleveland,grp2,4.7,4,4.6,4,4.7,4.6,54.88960392
E07000123,Preston,grp2,4.7,4,4.5,4,4.7,4.6,92.22529119
E08000031,Wolverhampton,grp1,4.7,4,4.6,4,4.7,4.6,21.28187845
E08000023,South Tyneside,grp2,4.7,4,4.6,4,4.7,4.1,10.84073532
E07000028,Carlisle,grp6,4.8,4.7,4.6,4.7,4.8,5.2,16.65073287
E06000006,Halton,grp6,4.8,4.4,4.5,4.4,4.8,4.7,66.33983872
E06000016,Leicester,grp3,4.8,4.2,4.7,4.2,4.8,4.7,88.78416182
E08000036,Wakefield,grp3,4.8,4.3,4.9,4.3,4.8,4.7,67.58263567
E07000138,Lincoln,grp4,4.8,4.4,4.8,4.4,4.8,4.6,93.70506082
E08000018,Rotherham,grp4,4.8,4.5,4.8,4.5,4.8,3.2,5.138821257
E07000171,Bassetlaw,grp1,4.8,4.2,4.5,4.2,4.8,4.5,89.45765618
E06000005,Darlington,grp3,4.8,4,4.2,4,4.8,4.7,70.9507423
E08000034,Kirklees,grp2,4.9,4.5,4.5,4.5,4.9,4.5,90.45435464
E08000033,Calderdale,grp2,4.9,4.4,4.5,4.4,4.9,4.6,98.90273203
E07000034,Chesterfield,grp2,4.9,4.5,4.8,4.5,4.9,4.9,9.237951367
E07000036,Erewash,grp3,4.9,4.5,4.8,4.5,4.9,4.8,22.81489503
E07000136,Boston,grp6,5,4.4,4.5,4.4,5,4.6,21.59276122
E07000195,Newcastle-under-Lyme,grp3,5,4.6,4.7,4.6,5,4.6,96.23952443
E07000192,Cannock Chase,grp1,5,4.5,4.7,4.5,5,5.3,74.58455273
E07000150,Corby,grp0,5,4.4,4.7,4.4,5,4.8,19.43089272
E06000004,Stockton-on-Tees,grp2,5.1,4.9,5.1,4.9,5.1,5,91.65676957
E08000019,Sheffield,grp5,5.1,4.6,4.8,4.6,5.1,4.8,40.28301119
E06000015,Derby,grp6,5.1,4.7,4.6,4.7,5.1,4.8,40.58314804
E08000003,Manchester,grp2,5.1,5,4.8,5,5.1,5,62.87876305
E08000030,Walsall,grp0,5.2,4.9,5.1,4.9,5.2,5.2,94.27954241
E08000026,Coventry,grp3,5.2,4.8,5.3,4.8,5.2,4.9,30.1019318
E07000219,Nuneaton and Bedworth,grp5,5.2,4.9,5.1,4.9,5.2,5.2,51.12422145
E08000002,Bury,grp1,5.2,4.9,4.9,4.9,5.2,5,19.39809126
E07000032,Amber Valley,grp1,5.3,5.1,5.4,5.1,5.3,5.4,38.65949935
E07000128,Wyre,grp4,5.3,5.1,5,5.1,5.3,4.8,91.19414704
E08000025,Birmingham,grp3,5.3,5,5.1,5,5.3,4.8,18.03455013
E07000121,Lancaster,grp1,5.3,5,4.9,5,5.3,5.1,34.32610397
E07000137,East Lindsey,grp4,5.4,5.5,5.5,5.5,5.4,5.5,62.6510491
E07000145,Great Yarmouth,grp3,5.4,5.3,5.1,5.3,5.4,4.9,34.38446696
E08000027,Dudley,grp4,5.4,4.8,5.1,4.8,5.4,5.2,70.77604046
E08000015,Wirral,grp3,5.5,5.3,5.2,5.3,5.5,5.1,30.59123209
E07000172,Broxtowe,grp1,5.6,5.3,5.2,5.3,5.6,5.3,52.57407687
E07000010,Fenland,grp0,5.6,5.6,5.7,5.6,5.6,5.5,16.11281344
E07000198,Staffordshire Moorlands,grp4,6.4,6.6,6,6.6,6.4,6.1,86.21191539
E08000021,Newcastle upon Tyne,grp1,6.5,6.5,5.8,6.5,6.5,5.4,31.07754325
E07000173,Gedling,grp2,6.6,6.9,5.8,6.9,6.6,6.4,28.30399986
E07000199,Tamworth,grp5,6.7,6.9,6,6.9,6.7,6.6,97.50153782
E07000156,Wellingborough,grp3,6.8,7.2,6,7.2,6.8,6.3,39.74510777
